topic_name,negative_prob
Financial Regulation & Corporate Scandals,0.6327468839065398
"COVID-19, Manufacturing & Labor Markets",0.6062236988728202
Macroeconomy & Financial Markets,0.5541474782642719
Corporate Earnings & Equity Markets,0.5041046859009466
Aviation & Air Transportation,0.5035817000043421
Oil & Energy Markets,0.48018842119178395
Banking & Financial Services,0.4710507024502822
US-China Trade War & Geopolitics,0.46323479681079427
Automotive Industry & Corporate Leadership,0.4014356195862629
International Trade & Economic Policy,0.38189903728895674
Big Tech & Digital Platforms,0.36446855029691216
Mergers & Acquisitions,0.25023985000871285
